T T T T T T T T T T T T T T T T T T T T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T 0 0 Q W W W W E 0 0 0 0 0 0 0 0 0 0 T
T 0 0 A S S S S D 0 0 0 0 0 0 0 0 0 0 T
T 0 0 A S S S S D 0 0 0 0 0 0 0 0 0 0 T
T 0 0 Z X R X X C 0 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T 0 0 B 0 0 0 0 0 F 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 P 0 0 0 V 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 T
T T T T T T T T T T T T T T T T T T T T
